LC1,LU1,CLC3,Representativeness,Note
B53,U113,211,0,agricultural rotation
B54,U111,211,1,agricultural rotation
B54,U112,990,0,agricultural rotation
B54,U113,211,0,agricultural rotation
B54,U150,990,0,U150 Hunting
B54,U415,990,0,U415 Other abandoned areas
B55,U111,211,1,Temporary grasslands
B55,U112,990,0,Temporary grasslands
B55,U113,211,0,Temporary grasslands
B55,U150,990,0,U150 Hunting
B55,U350,990,0,U350 Community services
B55,U361,990,0,U361 Leisure (allotments)
B55,U415,990,0,U415 Other abandoned areas
B71,U111,222,1,Permanent
B71,U112,990,0,U112 Fallow and abandoned land
B71,U113,222,0,Patchy
B71,U120,990,0,U120 Forestry (wood production)
B71,U350,990,0,U350 Community services
B71,U361,990,0,U361 Leisure (allotments)
B71,U363,990,0,U363 Holiday camps
B71,U364,990,0,U364 Nature reserves
B71,U370,990,0,U370 Ornamental plants in gardens of residential areas
B71,U400,990,0,U400 Unused and abandoned areas
B71,U410,990,0,U410 Abandoned areas
B71,U415,990,0,U415 Other abandoned areas
B72,U111,222,1,Permanent
B72,U112,990,0,U112 Fallow and abandoned land
B72,U113,222,0,Patchy
B72,U410,990,0,U410 Abandoned areas
B72,U415,990,0,U415 Other abandoned areas
B73,U111,222,1,Permanent
B73,U112,990,0,U112 Fallow and abandoned land
B73,U113,222,0,Patchy
B73,U120,990,0,U120 Forestry (wood production)
B73,U350,990,0,U350 Community services
B73,U361,990,0,U361 Leisure (allotments)
B73,U363,990,0,U363 Holiday camps
B73,U400,990,0,U400 Unused and abandoned areas
B73,U410,990,0,U410 Abandoned areas
B73,U414,990,0,U414 Abandoned residential areas
B73,U415,990,0,U415 Other abandoned areas
B74,U111,222,1,Permanent
B74,U112,990,0,U112 Fallow and abandoned land
B74,U113,222,0,Patchy
B74,U120,990,0,U120 Forestry (wood production)
B74,U150,990,0,U150 Hunting
B74,U350,990,0,U350 Community services
B74,U361,990,0,U361 Leisure (allotments)
B74,U400,990,0,U400 Unused and abandoned areas
B74,U410,990,0,U410 Abandoned areas
B74,U415,990,0,U415 Other abandoned areas
B75,U111,222,1,Permanent
B75,U112,990,0,U112 Fallow and abandoned land
B75,U113,222,0,Patchy
B75,U350,990,0,U350 Community services
B75,U361,990,0,U361 Leisure (allotments)
B75,U370,990,0,U370 Ornamental plants in gardens of residential areas
B75,U400,990,0,U400 Unused and abandoned areas
B75,U410,990,0,U410 Abandoned areas
B75,U415,990,0,U415 Other abandoned areas
B76,U111,222,1,Permanent
B76,U112,990,0,U112 Fallow and abandoned land
B76,U113,222,0,Patchy
B76,U400,990,0,U400 Unused and abandoned areas
B76,U410,990,0,U410 Abandoned areas
B76,U415,990,0,U415 Other abandoned areas
B77,U111,222,1,Permanent
B77,U112,990,0,U112 Fallow and abandoned land
B77,U113,222,0,Patchy
B77,U350,990,0,U350 Community services
B77,U400,990,0,U400 Unused and abandoned areas
B77,U410,990,0,U410 Abandoned areas
B77,U415,990,0,U415 Other abandoned areas
B81,U111,223,1,-
B81,U112,990,0,U112 Fallow and abandoned land
B81,U113,223,0,Patchy
B81,U150,990,0,U150 Hunting
B81,U350,990,0,U350 Community services
B81,U361,990,0,U361 Leisure (allotments)
B81,U400,990,0,U400 Unused and abandoned areas
B81,U410,990,0,U410 Abandoned areas
B81,U415,990,0,U415 Other abandoned areas
B81,U420,990,0,U420 Semi-natural and natural areas not in use
B82,U111,221,1,-
B82,U112,990,0,U112 Fallow and abandoned land
B82,U113,221,0,Patchy
B82,U120,990,0,U120 Forestry (wood production)
B82,U150,990,0,U150 Hunting
B82,U312,990,0,U312 Roads
B82,U361,990,0,U361 Leisure (allotments)
B82,U400,990,0,U400 Unused and abandoned areas
B82,U410,990,0,U410 Abandoned areas
B82,U415,990,0,U415 Other abandoned areas
B82,U420,990,0,U420 Semi-natural and natural areas not in use
B83,U111,222,1,-
B83,U113,222,0,Patchy
B83,U120,990,0,U120 Forestry (wood production)
B83,U150,990,0,U150 Hunting
B83,U350,990,0,U350 Community services
B83,U361,990,0,U361 Leisure (allotments)
B83,U415,990,0,U415 Other abandoned areas
B84,U111,222,0,Heterogeneous
B84,U112,222,0,Patchy
B84,U210,222,0,U210 Energy production
B84,U361,990,0,U361 Leisure (allotments)
B84,U400,990,0,U400 Unused and abandoned areas
B84,U410,990,0,U410 Abandoned areas
B84,U415,990,0,U415 Other abandoned areas
BX1,8,990,0,
BX1,U111,990,0,
BX1,U112,990,0,
BX1,U113,990,0,
BX1,U120,990,0,U120 Forestry (wood production)
BX1,U350,990,0,U350 Community services
BX1,U410,990,0,U410 Abandoned areas
BX1,U415,990,0,U415 Other abandoned areas
BX2,U111,990,0,
BX2,U112,990,0,
BX2,U113,990,0,
BX2,U350,990,0,U350 Community services
BX2,U410,990,0,U410 Abandoned areas
BX2,U415,990,0,U415 Other abandoned areas
C10,U111,311,0,U111 Grazing
C10,U112,311,0,U112 Shrub areas in fallow land
C10,U120,311,1,U120 Areas used for forestry purpose
C10,U130,311,0,U130 Fishing or collecting of water organisms
C10,U140,311,0,U140 Salt extraction
C10,U150,311,0,U150 wild growing non-wood forest products
C10,U210,311,0,U210 Energy production
C10,U221,311,1,U221L - Manufacture of food products
C10,U223,311,0,"U223 Coal, oil and metal processing"
C10,U224,311,0,U224 Production of non-metal mineral goods
C10,U225,311,0,U225 Chemical and allied industries and manufacturing
C10,U226,311,0,U226 Machinery and equipment
C10,U227,311,1,U227 Wood based products
C10,U311,311,0,U311 Railway transport
C10,U312,311,0,U312 Road transport
C10,U313,311,0,U313 Water transport
C10,U314,311,0,U314 Air transport
C10,U316,311,0,U316 Telecommunication
C10,U317,311,0,U317 Logistics and storage
C10,U318,311,0,U318 Protection infrastructures
C10,U319,311,0,U319 Protection infrastructures
C10,U321,311,0,U321 Water supply and treatment
C10,U322,311,0,U322 Waste treatment
C10,U330,311,0,U330 Construction
C10,U340,311,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C10,U341,311,0,U341 Commerce
C10,U342,311,0,"U342 Financial, professional and information services"
C10,U350,311,0,U350 Wooded areas connected to community services
C10,U361,311,0,"U361 Amenities, museums, leisure"
C10,U362,311,0,U362 Sport
C10,U363,311,0,U363 Holiday camps
C10,U364,311,1,U364 Nature Reserve
C10,U370,311,0,U370 Wooded areas in residential areas (urban parks)
C10,U400,311,0,U400 Unused and abandoned areas
C10,U410,311,0,U410 Abandoned areas
C10,U411,311,0,U411 Abandoned industrial areas
C10,U412,311,0,U350 Wooded areas connected to community services
C10,U413,311,0,U411 Abandoned transport areas
C10,U414,311,0,U414 Abandoned residential areas
C10,U415,311,0,U415 Other abandoned areas
C10,U420,311,0,U420 Semi-natural and natural areas not in use
C11,U111,311,0,U111 Agricultural use: grazing
C11,U113,311,0,U113 Kitchen garden
C11,U120,311,0,U120 Areas used for forestry purpose
C11,U130,311,0,U130 Fishing or collecting of water organisms
C11,U140,311,0,U140 Salt extraction
C11,U210,311,0,U210 Energy production
C11,U226,311,0,U226 Machinery and equipment
C11,U227,311,1,U227 Wood based products
C11,U311,311,0,U311 Railway transport
C11,U312,311,0,U312 Road transport
C11,U318,311,0,U318 Protection infrastructures
C11,U321,311,0,U321 Water supply and treatment
C11,U340,311,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C11,U350,311,0,U350 Wooded areas connected to community services
C11,U361,311,0,"U361 Amenities, museums, leisure"
C11,U362,311,0,U362 Sport
C11,U363,311,0,U363 Holiday camps
C11,U370,311,0,U370 Wooded areas in residential areas (urban parks)
C11,U400,311,0,U400 Unused and abandoned areas
C11,U500,311,0,U50 Wetlands
C12,U111,312,0,U111 Grazing
C12,U113,312,0,U313 Water transport
C12,U120,312,1,U120 Areas used for forestry purpose
C12,U210,312,0,U210 Energy production
C12,U225,312,0,U225 Chemical and allied industries and manufacturing
C12,U227,312,1,U227 Wood based products
C12,U312,312,0,U312 Road transport
C12,U314,312,0,U314 Air transport
C12,U322,312,0,U322 Waste treatment
C12,U340,312,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C12,U350,312,0,U350 Wooded areas connected to community services
C12,U361,312,0,"U361 Amenities, museums, leisure"
C12,U362,312,0,U362 Sport
C12,U363,312,0,U363 Holiday camps
C12,U370,312,0,U370 Wooded areas in residential areas (urban parks)
C12,U400,312,0,U400 Unused and abandoned areas
C12,U500,312,0,U50 Wetlands
C13,U111,313,0,U111 Grazing
C13,U113,313,0,U313 Water transport
C13,U120,313,1,U120 Areas used for forestry purpose
C13,U130,313,0,U130 Fishing or collecting of water organisms
C13,U140,313,0,U140 Salt extraction
C13,U225,313,0,U225 Chemical and allied industries and manufacturing
C13,U312,313,0,U312 Road transport
C13,U316,313,0,U316 Telecommunication
C13,U322,313,0,U322 Waste treatment
C13,U340,313,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C13,U350,313,0,U350 Wooded areas connected to community services
C13,U361,313,0,"U361 Amenities, museums, leisure"
C13,U362,313,0,U362 Sport
C13,U363,313,0,U363 Holiday camps
C13,U370,313,0,U370 Wooded areas in residential areas (urban parks)
C13,U400,313,0,U400 Unused and abandoned areas
C13,U500,313,0,U50 Wetlands
C20,U111,312,0,U111 Grazing
C20,U120,312,1,U120 Areas used for forestry purpose
C20,U130,312,0,U130 Fishing or collecting of water organisms
C20,U140,312,0,U140 Salt extraction
C20,U150,312,0,U150 wild growing non-wood forest products
C20,U210,312,0,U210 Energy production
C20,U226,312,0,U226 Machinery and equipment
C20,U227,312,1,U227 Wood based products
C20,U312,312,0,U312 Road transport
C20,U314,312,0,U314 Air transport
C20,U317,312,0,U317 Logistics and storage
C20,U318,312,0,U318 Protection infrastructures
C20,U321,312,0,U321 Water supply and treatment
C20,U322,312,0,U322 Waste treatment
C20,U340,312,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C20,U350,312,0,U350 Wooded areas connected to community services
C20,U361,312,0,"U361 Amenities, museums, leisure"
C20,U362,312,0,U362 Sport
C20,U363,312,0,U363 Holiday camps
C20,U364,312,1,U364 Nature Reserve
C20,U370,312,0,U370 Wooded areas in residential areas (urban parks)
C20,U400,312,0,U400 Unused and abandoned areas
C21,U111,312,0,U111 Grazing
C21,U112,312,0,U112 Shrub areas in fallow land
C21,U113,312,0,U113 Kitchen garden
C21,U120,312,1,U120 Areas used for forestry purpose
C21,U130,312,0,U130 Fishing or collecting of water organisms
C21,U140,312,0,U140 Salt extraction
C21,U150,312,0,U150 wild growing non-wood forest products
C21,U210,312,0,U210 Energy production
C21,U224,312,0,U224 Production of non-metal mineral goods
C21,U226,312,0,U226 Machinery and equipment
C21,U311,312,0,U311 Railway transport
C21,U312,312,0,U312 Road transport
C21,U313,312,0,U313 Water transport
C21,U316,312,0,U316 Telecommunication
C21,U317,312,0,U317 Logistics and storage
C21,U318,312,0,U318 Protection infrastructures
C21,U319,312,0,U319 Protection infrastructures
C21,U321,312,0,U321 Water supply and treatment
C21,U322,312,0,U322 Waste treatment
C21,U340,312,0,"U340 COMMERCE, FINANCIAL, PROFESSIONAL AND INFORMATION SERVICE"
C21,U341,312,0,U341 Wooded areas connected to commercial areas
C21,U350,312,0,U350 Wooded areas connected to community services
C21,U361,312,0,"U361 Amenities, museums, leisure"
C21,U362,312,0,U362 Sport
C21,U363,312,0,U363 Holiday camps
C21,U370,312,0,U370 Wooded areas in residential areas (urban parks)
C21,U400,312,0,U400 Unused and abandoned areas
C21,U410,312,0,U410 Abandoned areas
C21,U414,312,0,U414 Abandoned residential areas
C21,U415,312,0,U415 Other abandoned areas
C21,U420,312,0,U420 Semi-natural and natural areas not in use
C21,U500,312,0,U50 Wetlands
C22,U111,312,0,U111 Grazing
C22,U120,312,1,U120 Areas used for forestry purpose
C22,U130,312,0,U130 Fishing or collecting of water organisms
C22,U140,312,0,U140 Salt extraction
C22,U150,312,0,U150 wild growing non-wood forest products
